note,length,delay
38,960,112
33,1,112
38,1,112
33,1,112
35,1,112
30,1,112
35,1,112
35,1,112
33,1,112
28,1,112
33,1,112
28,1,112
33,0,112
43,1,112
43,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
42,0,112
35,1,112
42,1,112
35,1,112
35,1,112
33,1,112
40,1,112
33,1,112
40,1,112
33,0,112
31,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
42,1,112
45,0,112
33,1,112
40,1,112
33,1,112
40,1,112
35,1,112
42,1,112
35,1,112
35,1,112
42,0,112
43,1,112
38,1,112
43,1,112
43,1,112
40,0,112
38,1,112
33,1,112
38,1,112
42,1,112
43,0,112
45,1,112
40,1,112
45,1,112
40,1,112
42,0,112
43,1,112
38,1,112
43,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
35,1,112
42,1,112
35,1,112
38,1,112
35,0,112
33,1,112
40,1,112
33,1,112
40,1,112
33,0,112
31,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
42,0,112
35,1,112
42,1,112
35,1,112
42,1,112
35,0,112
33,1,112
40,1,112
33,1,112
40,1,112
33,0,112
31,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
42,1,112
43,0,112
45,1,112
40,1,112
45,1,112
30,1,112
33,0,112
35,1,112
42,1,112
35,1,112
42,1,112
45,0,112
43,1,112
38,1,112
43,1,112
43,1,112
40,0,112
38,1,112
33,1,112
38,1,112
42,1,112
43,0,112
45,1,112
40,1,112
45,1,112
40,1,112
45,0,112
43,1,112
38,1,112
43,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
34,0,112
35,1,112
42,1,112
35,0,112
33,1,112
33,1,112
38,1,112
45,1,112
38,1,112
40,1,112
42,0,112
43,1,112
43,1,112
38,1,112
38,1,112
42,0,112
45,0,112
33,1,112
40,1,112
45,1,112
33,1,112
34,0,112
35,1,112
35,1,112
36,1,112
40,1,112
43,0,112
43,1,112
42,1,112
40,0,112
38,1,112
38,1,112
45,1,112
40,1,112
45,1,112
40,1,112
40,0,112
45,1,112
40,1,112
45,1,112
38,1,112
33,1,112
38,1,112
42,1,112
45,0,112
33,1,112
40,1,112
33,1,112
40,1,112
35,1,112
42,1,112
35,1,112
35,1,112
42,0,112
43,1,112
38,1,112
43,1,112
43,1,112
40,0,112
38,1,112
33,1,112
38,1,112
42,1,112
43,0,112
45,1,112
40,1,112
45,1,112
40,1,112
42,0,112
43,1,112
38,1,112
43,1,112
42,1,112
40,0,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
33,1,112
38,1,112
42,1,112
45,0,112
33,1,112
40,1,112
33,1,112
40,1,112
35,1,112
42,1,112
35,1,112
35,1,112
42,0,112
43,1,112
38,1,112
43,1,112
43,1,112
40,0,112
