note,length,delay
88,0,25
76,2,57
92,7,15
88,3,29
64,2,23
45,0,56
86,0,15
79,2,39
67,3,59
91,2,24
33,0,83
83,3,34
64,3,61
76,0,51
74,3,46
81,5,34
62,7,63
74,9,31
81,3,36
64,2,24
83,2,23
64,5,62
76,0,36
67,26,21
71,3,60
90,2,23
59,5,59
71,4,63
83,5,26
71,5,74
52,10,18
87,14,21
83,12,41
59,22,22
90,38,18
59,17,43
71,14,58
59,12,62
78,12,41
71,2,59
59,5,64
59,10,77
71,7,78
52,7,17
57,12,22
45,2,50
59,5,75
71,4,64
71,4,67
52,12,30
59,16,64
59,3,70
33,2,74
59,8,77
59,22,89
59,7,104
52,43,22
52,86,43
72,84,58
84,3,30
57,9,27
59,12,51
55,3,51
67,19,67
74,27,53
81,0,35
62,4,60
74,4,58
67,17,31
62,10,59
88,3,42
64,3,65
76,7,47
95,5,19
72,3,49
84,7,41
67,19,33
96,0,19
72,2,61
57,7,22
84,10,30
