note,length,delay
72,0,88
79,14,19
79,5,22
91,5,45
84,3,37
91,3,49
67,12,26
79,57,32
79,10,31
91,5,45
84,9,37
67,12,24
79,12,48
91,3,49
79,55,39
84,12,32
84,4,47
67,0,51
91,4,25
79,5,36
86,3,20
91,17,46
79,0,45
67,38,47
91,9,47
79,5,29
67,4,52
91,5,53
79,19,40
91,19,46
79,10,53
67,12,61
84,48,29
67,28,47
79,3,47
91,0,56
84,14,28
67,14,39
91,2,38
67,29,31
79,7,36
84,31,33
79,19,33
67,9,25
84,10,48
91,10,46
67,3,22
79,7,21
79,5,34
91,3,48
67,7,29
79,5,18
67,21,35
84,10,31
79,36,18
67,26,30
91,5,47
79,0,51
84,17,39
67,4,32
91,5,34
91,9,48
79,14,20
84,5,29
67,12,60
79,31,41
84,5,35
91,26,44
67,22,49
91,12,49
79,14,22
84,0,49
79,12,39
67,26,38
