note,length,delay
64,48,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
61,49,90
61,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,1,90
68,1,90
64,49,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,49,90
64,49,90
66,49,90
66,145,90
66,1,90
66,1,90
66,1,90
66,1,90
66,1,90
63,1,90
68,49,90
66,49,90
64,49,90
63,49,90
61,49,90
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
64,48,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
61,49,90
61,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,1,90
68,1,90
64,49,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,49,90
64,49,90
66,49,90
66,145,90
66,1,90
66,1,90
66,1,90
66,1,90
66,1,90
63,1,90
68,49,90
66,49,90
64,49,90
63,49,90
61,49,90
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
83,24,90
88,1,90
85,1,90
83,16,90
85,16,90
83,16,90
83,24,90
85,1,90
80,16,90
81,1,90
80,1,90
76,1,90
76,16,90
80,1,90
83,1,90
85,1,90
83,24,90
88,1,90
85,1,90
83,16,90
85,16,90
83,16,90
83,24,90
80,1,90
83,1,90
84,97,90
84,1,90
87,1,90
92,1,90
64,72,38
64,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
61,49,38
61,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
68,49,38
66,1,38
68,1,38
64,49,38
64,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
68,49,38
66,49,38
64,49,38
66,49,38
66,145,38
66,1,38
66,1,38
66,1,38
66,1,38
66,1,38
63,1,38
68,49,38
66,49,38
64,49,38
63,49,38
61,49,38
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
64,49,38
64,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
61,49,38
61,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
68,49,38
66,1,38
68,1,38
64,49,38
64,1,38
64,1,38
64,1,38
64,1,38
64,1,38
61,1,38
68,49,38
66,49,38
64,49,38
66,49,38
66,145,38
66,1,38
66,1,38
66,1,38
66,1,38
66,1,38
63,1,38
68,49,38
66,49,38
64,49,38
63,49,38
61,49,38
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
83,336,90
88,1,90
85,1,90
83,16,90
85,16,90
83,16,90
83,24,90
85,1,90
80,16,90
81,1,90
80,1,90
76,1,90
76,16,90
80,1,90
83,1,90
85,1,90
83,24,90
88,1,90
85,1,90
83,16,90
85,16,90
83,16,90
83,24,90
80,1,90
83,1,90
84,1,90
84,1,90
87,1,90
92,1,90
60,1,90
64,0,90
59,49,90
63,0,90
61,1,90
64,0,90
59,1,90
63,0,90
61,1,90
64,0,90
69,16,90
73,0,90
68,1,90
71,0,90
66,1,90
69,0,90
64,16,90
68,0,90
63,16,90
66,0,90
63,16,90
66,0,90
64,49,90
68,0,90
64,1,90
68,0,90
64,49,90
68,0,90
63,97,90
66,0,90
64,49,90
68,0,90
64,1,90
68,0,90
64,49,90
68,0,90
63,49,90
66,0,90
61,1,90
64,0,90
61,49,90
64,0,90
61,1,90
64,0,90
59,1,90
63,0,90
61,1,90
64,0,90
69,16,90
73,0,90
68,1,90
71,0,90
66,1,90
69,0,90
64,16,90
68,0,90
63,16,90
66,0,90
59,16,90
63,0,90
61,1,90
64,0,90
59,1,90
63,0,90
56,1,90
61,0,90
64,48,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
61,49,90
61,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,1,90
68,1,90
64,49,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,49,90
64,49,90
66,49,90
66,145,90
66,1,90
66,1,90
66,1,90
66,1,90
66,1,90
63,1,90
68,49,90
66,49,90
64,49,90
63,49,90
61,49,90
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
64,49,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
61,49,90
61,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,1,90
68,1,90
64,49,90
64,1,90
64,1,90
64,1,90
64,1,90
64,1,90
61,1,90
68,49,90
66,49,90
64,49,90
66,49,90
66,145,90
66,1,90
66,1,90
66,1,90
66,1,90
66,1,90
63,1,90
68,49,90
66,49,90
64,49,90
63,49,90
61,49,90
73,49,90
80,1,90
83,1,90
82,1,90
73,72,90
80,1,90
83,1,90
82,1,90
83,16,90
85,1,90
49,0,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
47,1,90
49,1,90
49,0,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
45,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
47,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
47,1,90
49,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
50,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
49,1,90
