note,length,delay
40,0,85
38,0,100
40,3,73
40,3,61
40,42,83
40,42,74
40,36,66
38,36,100
40,3,79
40,21,69
40,42,57
38,3,100
40,24,75
40,36,62
40,39,57
38,42,100
40,3,77
40,18,66
40,42,64
40,36,79
40,39,75
40,36,66
40,42,78
38,0,100
40,15,72
40,48,66
38,0,100
40,27,82
40,36,94
40,36,104
40,39,83
38,9,100
40,18,75
40,42,62
40,39,79
40,42,72
40,42,70
40,39,100
38,3,100
40,24,75
40,42,100
38,0,100
40,27,75
40,36,85
40,45,79
40,39,100
38,0,100
40,24,81
40,39,47
38,3,100
40,24,58
40,36,69
40,33,81
38,30,100
40,3,100
40,24,100
40,36,100
38,0,100
40,24,100
40,36,100
38,3,100
40,27,100
38,36,100
40,0,100
40,21,48
40,36,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,24,69
40,39,100
38,3,100
40,27,69
40,39,36
40,24,54
38,24,100
40,3,100
40,21,65
40,21,57
40,18,41
40,18,51
40,30,57
38,18,100
40,3,100
40,24,57
38,21,100
40,3,100
40,24,58
40,15,40
40,21,56
38,18,100
40,0,100
40,24,60
40,15,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,21,62
40,18,100
38,3,100
40,27,62
40,15,36
40,24,54
38,24,100
40,3,100
40,18,62
40,24,57
40,12,41
40,18,51
40,30,57
38,18,100
40,3,100
40,24,66
38,15,100
40,3,100
40,27,61
40,15,40
40,21,56
38,18,125
40,0,125
49,0,125
40,21,58
40,15,54
40,24,35
40,33,44
40,12,60
40,24,100
38,0,100
40,18,61
40,27,100
38,3,100
40,30,62
40,18,36
40,24,54
38,24,100
40,3,100
40,18,61
40,21,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
40,27,61
38,15,100
40,3,100
40,21,61
40,21,40
40,21,56
38,18,100
40,0,100
40,21,60
40,15,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,127
40,3,127
52,0,127
49,3,127
55,0,127
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,12,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,0,100
40,69,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,0,100
40,69,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,75,100
40,27,100
38,21,98
40,0,98
52,0,98
55,3,100
49,3,100
40,69,54
40,42,35
40,33,44
40,21,60
40,9,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,0,100
40,69,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,127
40,0,127
52,6,127
55,0,127
49,3,125
40,69,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,21,54
38,21,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,0,100
40,69,54
40,42,35
40,33,44
40,21,60
40,24,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,127
40,3,127
40,69,124
40,39,41
40,18,125
40,30,57
38,18,125
40,3,125
38,72,125
40,3,125
40,27,60
40,15,68
40,18,127
40,15,90
40,15,102
40,18,113
40,15,125
38,0,125
49,0,125
52,0,125
57,0,125
55,3,125
40,69,100
38,3,100
40,72,36
40,24,54
38,6,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,89
40,3,89
40,69,83
40,39,41
40,18,89
40,30,57
40,18,100
38,0,100
40,69,100
38,3,100
40,72,36
40,24,54
38,24,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,51
40,3,52
38,72,62
40,3,62
40,69,72
40,21,83
38,18,86
40,3,86
40,69,90
40,39,87
40,18,78
40,30,75
38,18,127
49,0,127
52,0,127
55,0,127
57,0,127
40,3,127
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,3,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
38,18,100
40,3,100
40,69,57
40,39,41
40,18,51
40,30,57
38,18,100
40,3,100
38,72,100
40,3,100
40,69,40
40,21,56
40,21,52
38,0,100
40,21,65
40,21,75
38,6,100
40,24,78
40,27,82
40,27,83
40,24,100
38,0,100
38,63,100
40,3,100
38,66,100
40,3,100
40,0,89
43,24,100
40,9,100
59,9,100
43,0,100
72,3,100
71,0,100
74,15,100
57,0,100
59,0,100
71,285,100
59,0,100
55,45,100
67,3,100
59,39,100
47,0,100
50,45,100
62,6,100
60,39,100
48,0,100
59,27,100
47,0,100
40,288,100
59,4,100
47,5,100
66,3,100
59,6,100
54,0,100
59,3,100
51,0,100
63,3,100
59,6,100
72,0,100
71,9,100
64,3,100
59,579,100
72,48,100
71,39,100
74,84,100
57,48,100
59,48,100
59,666,100
62,69,127
60,51,100
59,24,125
69,528,56
71,21,85
72,18,57
71,24,86
74,0,106
72,18,108
71,21,100
63,6,73
62,6,100
72,63,100
67,51,100
74,3,100
71,81,100
74,54,100
69,0,100
62,0,100
67,24,100
66,0,100
55,27,100
67,0,100
59,3,100
71,19,125
62,12,87
74,138,120
76,51,127
72,0,100
74,6,100
72,36,78
74,12,124
71,0,100
67,48,100
76,6,100
72,6,100
74,0,100
76,18,127
74,3,127
71,3,100
72,21,100
74,12,100
71,12,115
69,54,125
66,570,85
