note,length,delay
42,0,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
43,1,57
55,0,71
52,1,64
42,35,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
43,1,57
55,0,71
52,1,64
42,35,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
43,1,57
55,0,71
52,1,64
73,35,69
42,0,61
54,0,71
69,1,65
42,0,57
54,0,67
68,31,64
66,1,67
42,0,59
54,0,73
43,1,57
55,0,71
52,1,64
42,5,61
54,0,71
42,1,57
54,0,67
66,505,64
68,1,67
42,0,59
54,0,73
66,31,64
62,1,65
43,0,57
55,0,71
64,1,64
52,0,64
61,35,69
42,0,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
73,1,65
43,0,57
55,0,71
52,1,64
42,5,61
54,0,71
42,1,57
54,0,67
66,505,64
76,1,67
42,0,59
54,0,73
74,31,64
71,1,65
43,0,57
55,0,71
74,1,64
52,0,64
73,35,64
42,0,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
43,1,57
55,0,71
52,1,64
62,5,64
42,0,61
54,0,71
42,1,57
54,0,67
42,1,59
54,0,73
43,1,57
55,0,71
52,1,64
