note,length,delay
74,0,127
70,0,127
65,0,127
65,9,0
70,0,0
74,0,0
75,40,127
70,0,127
65,0,127
65,9,0
70,0,0
75,0,0
74,0,127
70,0,127
65,0,127
65,9,0
70,0,0
74,0,0
75,40,127
70,0,127
65,0,127
65,9,0
70,0,0
75,0,0
67,0,127
72,0,127
76,0,127
76,9,0
72,0,0
67,0,0
67,40,127
72,0,127
77,0,127
77,9,0
72,0,0
67,0,0
74,0,127
70,0,127
65,0,127
65,9,0
70,0,0
74,0,0
75,40,127
70,0,127
65,0,127
65,9,0
70,0,0
75,0,0
74,0,127
70,0,127
65,0,127
65,201,0
70,0,0
74,0,0
65,40,127
70,0,127
75,0,127
75,201,0
70,0,0
65,0,0
74,0,127
70,0,127
65,0,127
65,9,0
70,0,0
74,0,0
65,40,127
70,0,127
75,0,127
75,201,0
70,0,0
65,0,0
76,40,127
72,0,127
67,0,127
67,201,0
72,0,0
76,0,0
67,40,127
72,0,127
77,0,127
77,201,0
72,0,0
67,0,0
74,2728,127
70,0,127
65,0,127
65,201,0
70,0,0
74,0,0
65,40,127
70,0,127
75,0,127
75,201,0
70,0,0
65,0,0
65,0,123
65,92,0
67,4,89
67,67,0
70,29,106
70,85,0
67,11,95
67,68,0
72,28,125
70,96,99
72,19,0
70,63,0
67,14,83
67,93,0
72,3,97
73,19,79
74,28,115
72,14,0
73,29,0
74,54,0
72,51,103
70,93,111
72,3,0
70,68,0
67,25,103
67,74,0
65,22,93
65,64,0
60,32,93
60,96,0
58,0,105
58,1344,0
65,2688,123
65,92,0
67,4,89
67,67,0
70,29,106
70,85,0
72,107,125
77,96,96
72,19,0
77,63,0
82,14,86
82,93,0
79,3,110
72,0,66
72,32,0
74,0,110
74,64,0
79,1,0
72,98,103
70,93,111
72,3,0
70,68,0
67,25,103
67,74,0
65,22,93
65,64,0
60,0,71
60,64,0
58,0,59
58,64,0
51,0,105
51,1344,0
65,4032,127
55,0,126
60,0,127
60,96,0
55,0,0
65,0,0
65,32,49
55,0,49
60,0,49
60,96,0
55,0,0
65,0,0
53,64,125
63,0,127
58,0,127
58,96,0
63,0,0
53,0,0
63,32,49
53,0,49
58,0,49
58,96,0
53,0,0
63,0,0
70,64,127
65,0,127
60,0,127
60,768,0
65,0,0
70,0,0
60,0,73
53,64,73
60,64,0
65,0,73
53,64,0
58,0,72
65,64,0
70,0,72
58,64,0
51,0,77
70,64,0
63,0,77
51,64,0
56,0,76
63,64,0
68,0,76
56,64,0
61,0,80
68,64,0
73,0,82
61,64,0
58,0,91
73,64,0
70,0,91
58,64,0
63,0,92
70,64,0
75,0,92
63,64,0
68,0,98
75,64,0
80,0,100
68,64,0
66,0,102
80,64,0
78,0,103
66,64,0
71,0,105
78,64,0
83,0,102
83,64,0
71,0,0
72,0,127
84,0,127
84,576,0
72,0,0
81,0,111
81,64,0
84,0,107
84,64,0
81,0,82
81,59,0
82,6,120
82,69,0
81,120,127
81,78,0
79,116,107
79,63,0
82,33,105
82,66,0
81,30,123
81,63,0
78,33,123
78,63,0
79,32,127
79,88,0
74,9,123
74,1,0
77,201,127
77,84,0
76,102,127
76,74,0
77,125,113
76,59,87
77,7,0
74,41,111
76,6,0
74,57,0
73,107,127
74,64,88
73,4,0
69,60,94
74,6,0
69,58,0
72,0,127
72,336,0
72,48,126
77,0,126
72,64,0
73,0,117
77,13,0
72,43,76
73,8,0
72,64,0
70,0,112
70,53,0
77,43,127
72,0,127
72,96,0
77,0,0
70,96,127
70,64,0
67,32,109
67,64,0
72,32,127
77,0,127
77,96,0
72,0,0
70,0,127
70,64,0
66,32,109
66,64,0
65,32,127
65,96,0
67,0,80
67,96,0
70,0,127
70,96,0
84,96,102
91,0,102
77,0,102
