note,length,delay
65,0,42
58,0,63
62,2,62
53,3,89
46,5,91
34,14,58
57,12,75
62,2,48
65,7,52
81,3,25
62,2,66
58,0,66
72,3,33
53,2,87
46,3,88
34,17,54
72,10,54
57,2,71
81,7,56
58,4,62
72,0,49
62,0,61
53,5,83
46,10,86
34,14,53
72,7,59
84,3,52
57,2,68
76,8,21
79,5,58
81,3,80
84,2,50
62,5,56
58,0,57
53,4,81
46,9,85
34,2,51
84,8,84
72,0,53
57,4,66
81,7,85
84,0,63
62,5,54
58,2,55
53,5,80
46,9,84
84,10,89
72,0,51
81,2,42
57,3,66
81,17,81
84,0,65
62,5,53
72,2,38
58,0,53
53,5,80
46,9,84
96,5,52
72,5,50
84,0,84
57,2,66
84,17,59
81,2,76
62,5,53
58,2,53
53,5,79
46,10,84
96,4,50
84,5,77
72,0,48
57,2,65
84,10,30
58,2,40
81,0,15
65,0,25
53,5,66
46,5,73
34,2,31
84,10,33
81,0,26
65,5,22
53,0,25
56,12,79
82,41,27
60,0,62
55,2,89
70,0,50
84,12,60
82,2,67
72,0,72
75,10,64
53,7,57
93,2,44
86,3,55
74,2,76
56,12,71
89,24,36
96,0,15
77,2,55
55,7,34
98,5,70
55,9,85
67,0,47
78,3,104
48,3,77
81,3,84
84,2,79
79,3,90
91,0,73
77,26,30
55,5,66
60,0,42
48,16,74
82,3,52
79,0,67
72,5,42
60,2,73
55,5,88
67,0,38
48,7,92
64,2,20
36,5,88
55,22,56
60,9,21
36,5,48
34,14,61
79,5,63
67,0,54
60,3,59
48,5,112
36,16,96
48,11,63
53,13,64
41,35,94
77,5,89
82,3,59
79,2,65
84,10,51
93,0,18
65,5,87
56,17,44
53,2,79
41,12,104
82,11,64
79,0,69
86,3,52
75,0,60
77,5,38
53,29,77
41,19,92
82,10,67
79,0,71
75,0,59
86,2,52
56,5,51
84,14,65
91,3,48
60,2,15
75,7,22
82,0,58
86,3,70
48,7,97
53,2,77
57,5,77
41,0,67
63,0,52
29,20,90
53,17,21
81,5,59
65,4,60
60,5,17
96,9,60
77,7,89
89,0,55
81,5,58
74,5,83
53,5,83
46,2,82
86,10,65
93,0,36
