note,length,delay
48,0,127
48,239,0
48,1,127
60,240,127
60,239,0
67,1,127
44,240,127
44,239,0
44,1,127
67,239,0
48,480,0
44,0,0
51,1,127
51,239,0
51,1,127
67,240,127
74,480,127
43,240,127
67,239,0
43,0,0
43,1,127
48,480,127
48,479,0
48,1,127
44,480,127
44,239,0
44,1,127
51,719,0
48,0,0
44,0,0
39,1,127
51,0,127
39,239,0
51,0,0
39,1,127
51,0,127
43,239,0
43,1,127
74,0,0
39,479,0
43,0,0
43,1,127
36,960,127
48,0,127
36,239,0
48,0,0
36,1,127
48,0,127
36,719,0
32,1,127
44,0,127
32,239,0
44,0,0
32,1,127
44,0,127
51,719,0
48,0,0
44,0,0
39,1,127
51,0,127
39,239,0
51,0,0
39,1,127
51,0,127
43,239,0
31,1,127
43,0,127
32,479,0
39,0,0
43,0,0
31,0,0
31,1,127
43,0,127
69,1440,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
81,119,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
69,119,0
72,0,0
69,1,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
69,119,0
81,0,0
69,1,127
81,0,127
84,119,0
81,0,0
75,1,127
87,0,127
75,119,0
87,0,0
75,1,127
87,0,127
75,119,0
87,0,0
75,1,127
87,0,127
75,119,0
87,0,0
75,1,127
87,0,127
75,119,0
87,0,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
72,119,0
84,0,0
72,1,127
84,0,127
72,119,0
84,0,0
79,1,127
91,0,127
79,119,0
91,0,0
79,1,127
91,0,127
79,119,0
91,0,0
79,1,127
91,0,127
79,119,0
91,0,0
79,1,127
91,0,127
79,119,0
91,0,0
75,1,127
87,0,127
75,119,0
87,0,0
75,1,127
87,0,127
75,119,0
87,0,0
75,1,127
87,0,127
51,0,0
75,239,0
87,0,0
87,1,127
75,0,127
60,120,127
72,0,127
36,120,127
48,0,127
60,239,0
36,480,0
32,1,127
44,0,127
32,239,0
44,0,0
32,1,127
44,0,127
48,719,0
44,0,0
31,480,0
43,0,0
31,1,127
43,0,127
72,479,0
32,0,0
31,0,0
43,0,0
31,1,127
43,0,127
36,960,127
48,0,127
36,239,0
48,0,0
36,1,127
48,0,127
36,719,0
32,1,127
44,0,127
32,239,0
44,0,0
32,1,127
44,0,127
48,719,0
44,0,0
51,1,127
51,479,0
51,1,127
43,239,0
43,1,127
31,239,0
32,0,0
43,0,0
43,1,127
75,479,0
36,481,127
48,0,127
36,239,0
48,0,0
48,1,127
36,0,127
36,719,0
69,1440,0
87,1920,0
51,6240,0
43,960,0
48,960,0
36,0,127
36,239,0
36,1,127
32,240,127
36,479,0
32,0,0
32,1,127
63,480,127
63,239,0
70,1,127
39,240,127
39,239,0
39,1,127
70,239,0
31,1,127
32,479,0
39,0,0
31,0,0
31,1,127
70,240,127
67,240,127
70,119,0
36,361,127
36,239,0
36,1,127
67,239,0
60,1,127
60,239,0
67,1,127
36,239,0
32,1,127
32,239,0
32,1,127
67,239,0
63,1,127
63,239,0
70,1,127
67,240,127
70,479,0
74,1,127
31,240,0
31,0,127
32,239,0
31,0,0
31,1,127
74,479,0
75,1,127
67,239,0
67,1,127
60,720,127
67,239,0
60,0,0
67,1,127
67,719,0
63,1,127
63,239,0
70,1,127
67,240,127
70,479,0
31,1,0
74,480,127
70,240,127
67,239,0
67,1,127
70,479,0
48,1,127
48,239,0
53,1,127
53,239,0
57,1,127
57,239,0
53,1,127
63,240,127
63,239,0
60,1,127
67,239,0
60,0,0
67,1,127
67,239,0
63,1,127
75,239,0
63,0,0
63,1,127
63,239,0
67,1,127
67,239,0
60,1,127
60,239,0
63,1,127
53,239,0
53,1,127
53,239,0
57,1,127
57,239,0
53,1,127
53,239,0
51,1,127
36,240,127
48,0,127
36,240,0
48,0,0
60,240,127
60,239,0
67,1,127
63,719,0
67,0,0
63,1,127
63,239,0
70,1,127
51,239,0
39,1,127
51,0,127
39,239,0
51,0,0
39,1,127
51,0,127
70,239,0
67,1,127
74,479,0
39,0,0
74,1,127
70,240,127
67,239,0
67,1,127
70,479,0
60,481,127
67,239,0
60,0,0
67,1,127
67,719,0
63,1,127
63,239,0
70,1,127
51,239,0
39,1,127
39,239,0
39,1,127
70,239,0
67,1,127
74,239,0
74,1,127
39,239,0
31,1,127
31,239,0
31,1,127
74,239,0
75,1,127
67,239,0
67,1,127
60,240,127
67,479,0
67,1,127
60,239,0
32,1,127
44,0,127
32,239,0
44,0,0
32,1,127
44,0,127
67,479,0
63,1,127
79,240,127
79,119,0
79,1,127
79,119,0
79,1,127
79,119,0
79,1,127
79,119,0
79,1,127
79,239,0
79,1,127
79,479,0
79,1,127
31,8639,0
75,0,0
32,1920,0
44,0,0
63,0,0
79,1440,0
