note,length,delay
48,128,127
36,0,127
36,0,127
48,0,127
60,256,127
67,0,127
44,0,127
32,0,127
32,0,127
44,0,127
63,0,127
70,0,127
51,0,127
39,0,127
51,0,127
39,0,127
67,0,127
74,256,127
43,0,127
31,0,127
43,0,127
31,0,127
70,0,127
67,0,127
36,256,127
48,0,127
36,0,127
48,0,127
60,256,127
67,0,127
32,0,127
44,0,127
44,0,127
32,0,127
63,0,127
70,0,127
51,0,127
39,0,127
39,0,127
51,0,127
67,0,127
74,0,127
43,0,127
31,0,127
43,0,127
31,0,127
75,0,127
67,0,127
36,256,127
48,0,127
48,0,127
36,0,127
60,256,127
67,0,127
44,0,127
32,0,127
44,0,127
32,0,127
63,0,127
70,0,127
51,0,127
39,0,127
51,0,127
39,0,127
67,0,127
74,256,127
31,0,127
43,0,127
43,0,127
31,0,127
70,0,127
67,0,127
48,256,127
53,0,127
69,0,127
81,0,127
57,0,127
81,0,127
69,0,127
81,0,127
69,0,127
53,0,127
69,0,127
81,0,127
72,0,127
84,0,127
63,0,127
84,0,127
72,0,127
72,0,127
84,0,127
60,0,127
84,0,127
72,0,127
81,0,127
69,0,127
67,0,127
69,0,127
81,0,127
63,0,127
81,0,127
69,0,127
69,0,127
81,0,127
75,0,127
63,0,127
87,0,127
87,0,127
75,0,127
87,0,127
67,0,127
75,0,127
75,0,127
87,0,127
60,0,127
84,0,127
72,0,127
84,0,127
72,0,127
63,0,127
72,0,127
84,0,127
72,0,127
84,0,127
91,0,127
79,0,127
53,0,127
91,0,127
79,0,127
57,0,127
79,0,127
91,0,127
79,0,127
91,0,127
87,0,127
75,0,127
53,0,127
75,0,127
87,0,127
75,0,127
87,0,127
51,0,127
75,0,127
87,0,127
36,128,127
60,0,127
72,0,127
48,0,127
36,0,127
48,0,127
60,0,127
67,0,127
32,0,127
44,0,127
32,0,127
44,0,127
63,0,127
70,0,127
51,0,127
39,0,127
51,0,127
39,0,127
67,0,127
74,0,127
43,0,127
31,0,127
31,0,127
43,0,127
70,0,127
67,0,127
48,256,127
36,0,127
48,0,127
36,0,127
60,256,127
67,0,127
44,0,127
32,0,127
44,0,127
32,0,127
63,0,127
70,0,127
39,0,127
51,0,127
51,0,127
39,0,127
67,0,127
74,0,127
43,0,127
31,0,127
43,0,127
31,0,127
75,0,127
67,0,127
36,256,127
48,0,127
36,0,127
48,0,127
60,256,127
67,0,127
32,0,127
44,0,127
32,0,127
44,0,127
63,0,127
79,256,127
79,0,127
79,0,127
79,0,127
79,0,127
79,0,127
79,0,127
