note,length,delay
57,0,82
76,0,19
73,2,37
52,22,52
45,10,47
33,7,47
42,7,41
59,2,49
54,2,78
62,3,64
71,21,37
35,3,60
47,5,61
73,2,22
56,12,59
61,0,44
46,3,28
37,19,70
64,2,66
57,10,65
74,2,37
38,23,60
78,5,45
66,5,63
69,0,58
57,7,51
85,4,83
90,0,53
66,8,72
81,9,17
65,0,59
47,0,43
70,5,84
62,0,36
90,2,30
74,0,29
66,5,71
57,5,57
73,10,104
92,0,62
85,2,95
97,2,33
63,5,67
54,5,81
87,2,33
57,3,64
59,3,47
47,2,94
63,5,61
57,7,46
66,29,45
59,12,45
94,3,71
96,5,52
84,0,87
49,2,45
42,3,67
59,0,68
71,2,71
66,5,71
57,2,71
59,0,61
54,3,74
63,9,64
75,2,24
71,3,31
35,17,58
64,2,33
86,5,34
93,0,74
35,2,41
71,8,31
47,4,52
71,7,31
59,2,45
40,5,72
52,2,36
71,5,106
95,2,62
83,3,92
55,9,70
76,3,48
100,7,15
96,7,49
46,12,48
52,0,41
59,7,58
79,3,24
71,9,68
47,0,38
67,3,46
55,0,39
67,7,40
83,15,100
64,0,62
92,0,37
59,2,49
64,2,50
55,0,52
76,15,51
52,7,64
48,0,50
57,2,52
61,7,59
64,3,58
45,12,57
67,4,55
54,2,80
79,5,38
73,2,52
69,3,61
64,2,58
52,4,55
61,10,47
64,0,64
56,0,51
49,14,89
67,7,33
37,0,62
67,10,66
52,5,87
57,2,57
64,2,57
59,5,79
76,9,36
56,3,57
54,4,27
88,0,31
59,7,55
40,9,79
67,2,33
74,4,94
59,5,60
86,0,72
93,3,79
59,8,71
100,2,29
76,3,55
64,7,41
47,7,44
71,7,69
95,2,67
105,0,42
90,3,65
99,2,33
83,0,96
71,10,80
59,7,49
55,7,31
47,5,16
74,2,45
62,8,57
64,2,66
59,2,80
91,5,36
67,0,48
76,24,91
88,2,52
69,0,49
57,0,82
64,5,112
83,5,41
83,10,93
61,31,85
81,14,45
73,7,29
73,17,48
65,9,77
56,3,67
48,4,54
76,13,62
37,2,53
57,7,88
77,2,91
65,5,84
81,12,31
62,9,59
86,5,22
69,0,21
90,3,36
57,2,39
66,12,84
81,2,15
78,5,25
38,7,53
93,7,52
101,2,61
57,5,75
62,0,76
77,3,74
74,2,42
98,2,29
57,7,43
46,24,44
78,14,23
93,3,29
