note,length,delay
66,0,52
76,99,71
74,52,65
66,15,52
66,10,75
95,26,56
83,2,17
97,3,18
92,0,35
87,16,27
68,5,63
103,9,34
93,3,66
76,5,29
100,53,47
69,5,56
62,2,65
102,7,36
102,5,35
102,3,30
102,3,20
73,9,54
102,5,31
102,3,21
71,2,64
102,5,28
102,7,68
74,9,21
83,19,30
64,82,74
62,24,35
99,31,15
71,12,61
59,5,30
71,3,63
71,11,66
90,39,16
69,2,87
102,43,70
61,8,43
71,2,17
83,69,30
64,10,86
76,17,25
69,3,87
81,0,23
62,2,47
58,0,27
56,7,35
64,10,31
88,2,18
62,26,29
99,17,39
66,14,50
49,5,24
61,2,37
76,0,25
57,8,53
69,12,40
58,9,43
102,10,26
43,9,16
102,5,30
57,2,25
71,0,17
76,0,15
45,3,17
53,9,61
49,3,15
45,46,51
33,14,124
45,34,54
36,26,52
106,36,56
102,8,21
33,11,19
44,2,17
83,5,45
50,0,70
76,5,20
52,0,30
88,4,41
86,2,40
81,3,19
74,0,19
90,0,28
50,5,35
70,5,45
49,3,73
54,4,42
58,8,43
42,0,44
61,7,48
44,28,104
63,17,19
93,26,39
32,3,95
63,10,40
35,33,119
73,65,54
92,7,58
50,7,51
