note,length,delay
79,768,64
79,45,0
67,3,47
67,50,0
77,6,48
77,42,0
75,4,45
75,45,0
74,5,54
74,42,0
67,6,40
72,47,51
67,3,0
72,45,0
74,4,41
74,43,0
75,3,61
75,46,0
67,3,46
67,45,0
74,1,48
74,42,0
70,4,45
70,45,0
67,6,61
72,43,62
67,3,0
72,44,0
74,4,57
74,40,0
75,3,52
75,43,0
79,3,60
79,45,0
67,3,47
67,50,0
77,6,48
77,42,0
75,4,45
75,45,0
74,5,54
74,42,0
67,6,40
72,47,51
67,3,0
72,45,0
74,4,41
74,43,0
75,3,56
75,46,0
67,3,56
67,45,0
74,1,56
74,42,0
70,4,56
70,45,0
67,6,60
72,43,56
67,3,0
72,44,0
74,4,52
74,40,0
75,3,52
75,43,0
79,3,56
79,45,0
67,3,56
67,50,0
77,6,56
77,42,0
75,4,52
75,45,0
74,5,52
74,42,0
67,6,56
72,47,56
67,3,0
72,45,0
74,4,52
74,43,0
75,3,52
75,46,0
67,3,56
67,45,0
74,1,56
74,42,0
70,4,60
70,45,0
67,6,60
72,43,60
67,3,0
72,44,0
74,4,60
74,40,0
75,3,60
75,43,0
79,3,60
79,45,0
67,3,64
67,50,0
77,6,60
77,42,0
75,4,60
75,45,0
74,5,60
74,42,0
67,6,64
72,47,68
67,3,0
72,45,0
74,4,68
74,43,0
75,3,68
75,46,0
67,3,64
67,45,0
74,1,64
74,42,0
70,4,64
70,45,0
67,6,64
72,43,64
67,3,0
72,17,0
74,4,60
74,40,0
75,3,60
75,43,0
79,3,60
79,45,0
67,3,60
67,50,0
77,6,60
77,42,0
75,4,60
75,3,0
74,5,64
74,42,0
67,6,64
72,47,60
67,3,0
72,35,0
74,4,60
74,43,0
75,3,64
75,46,0
67,3,64
67,45,0
74,1,64
74,42,0
70,4,60
70,10,0
67,6,60
72,43,56
67,3,0
72,44,0
74,4,56
74,3,0
75,3,56
75,43,0
79,3,56
79,45,0
67,3,56
67,50,0
77,6,56
77,25,0
75,4,56
75,45,0
74,5,56
74,42,0
67,6,56
72,47,60
67,3,0
72,45,0
74,4,64
74,43,0
75,3,64
75,46,0
67,3,64
67,45,0
74,1,64
74,42,0
70,4,64
70,45,0
67,6,64
72,43,60
67,3,0
72,44,0
74,4,60
74,40,0
75,3,56
75,43,0
79,3,56
79,45,0
67,3,56
67,50,0
77,6,56
77,42,0
75,4,56
75,45,0
74,5,56
74,42,0
67,6,60
72,47,60
67,3,0
72,45,0
74,4,64
74,43,0
75,3,64
75,46,0
67,3,64
67,45,0
74,1,60
74,42,0
70,4,68
70,45,0
67,6,68
72,43,64
67,3,0
72,44,0
74,4,64
74,40,0
75,3,64
75,43,0
79,3,68
79,45,0
67,3,56
67,50,0
77,6,60
77,42,0
75,4,60
75,45,0
74,5,60
74,42,0
67,6,64
72,47,64
67,3,0
72,35,0
74,4,64
74,43,0
75,3,64
75,46,0
67,3,68
67,33,0
74,1,64
74,22,0
70,4,68
70,40,0
67,6,72
72,22,72
67,3,0
72,44,0
74,4,72
74,40,0
75,3,72
75,43,0
79,3,64
79,39,0
67,3,64
67,50,0
77,6,64
77,42,0
75,4,64
75,45,0
74,5,64
74,40,0
67,6,64
72,47,64
67,3,0
72,8,0
74,4,64
74,43,0
75,3,64
75,46,0
67,3,60
67,45,0
74,1,60
74,42,0
70,4,60
70,45,0
67,6,64
72,43,68
67,3,0
72,44,0
74,4,72
74,40,0
75,3,72
75,43,0
79,3,68
79,45,0
67,3,68
67,50,0
77,6,60
77,42,0
75,4,60
75,45,0
74,5,60
74,19,0
67,6,60
72,47,64
67,3,0
72,45,0
74,4,64
74,43,0
