note,length,delay
64,0,48
60,0,48
62,0,48
55,0,47
60,0,39
57,0,47
59,0,45
52,0,45
57,0,43
53,0,47
55,0,48
48,0,41
57,0,48
53,0,52
59,0,51
55,0,53
64,0,47
60,0,54
62,0,45
55,0,49
60,0,43
57,0,51
59,0,44
52,0,45
57,0,48
53,0,44
55,0,45
48,0,42
57,0,55
53,0,52
59,0,56
55,0,53
67,0,61
76,0,61
60,0,59
71,0,47
74,0,47
55,0,46
72,0,43
57,0,47
67,0,44
71,0,44
52,0,44
60,0,46
69,0,46
53,0,49
64,0,46
67,0,46
48,0,50
65,0,46
69,0,46
53,0,53
62,0,52
71,0,52
55,0,48
72,0,63
60,0,78
64,0,78
72,0,66
74,256,70
55,0,65
62,0,65
71,251,65
72,251,69
57,0,56
60,0,56
76,251,70
79,251,75
52,0,59
67,251,50
69,251,51
53,0,68
57,0,68
65,251,60
64,251,55
48,0,54
67,251,66
65,251,66
53,0,69
57,0,69
72,251,75
71,251,75
55,0,65
59,0,65
67,251,54
72,251,62
60,0,75
64,0,75
76,13,88
79,128,97
79,0,86
55,0,71
81,128,88
79,126,72
77,126,68
76,126,75
57,0,90
60,0,90
76,20,85
76,0,79
52,0,78
55,0,78
77,128,80
76,126,78
74,126,76
72,126,76
53,0,85
57,0,85
70,126,73
69,126,75
70,126,73
67,126,73
48,0,70
52,0,70
64,254,65
60,251,72
53,0,84
57,0,84
65,251,78
64,123,78
62,126,72
55,0,83
59,0,83
67,254,92
65,123,90
60,0,87
64,0,87
72,256,50
74,256,54
55,0,52
71,251,62
72,251,66
57,0,70
60,0,70
64,251,50
67,251,59
52,0,64
59,0,64
69,379,73
65,121,64
53,0,57
57,0,57
60,254,52
64,251,57
48,0,66
55,0,66
67,251,68
65,251,56
53,0,58
57,0,58
64,251,54
62,251,52
55,0,60
59,0,60
67,251,63
60,251,53
64,0,53
48,0,51
