note,length,delay
80,0,100
80,180,0
80,0,100
80,180,0
78,0,100
78,120,0
78,0,100
78,180,0
78,0,100
78,60,0
78,0,100
78,120,0
78,0,100
78,60,0
76,120,100
76,180,0
76,0,100
76,60,0
76,0,100
76,60,0
76,0,100
76,60,0
78,0,100
78,60,0
80,0,100
80,180,0
80,0,100
80,180,0
78,0,100
78,120,0
78,0,100
78,180,0
78,0,100
78,60,0
78,0,100
78,120,0
78,0,100
78,60,0
77,120,100
77,180,0
77,0,100
77,60,0
77,0,100
77,60,0
77,0,100
77,60,0
78,0,100
78,60,0
80,0,100
80,180,0
80,0,100
80,180,0
78,0,100
78,120,0
78,0,100
78,180,0
78,0,100
78,60,0
78,0,100
78,120,0
78,0,100
78,60,0
76,120,100
76,180,0
76,0,100
76,60,0
76,0,100
76,60,0
76,0,100
76,60,0
78,0,100
78,60,0
80,0,100
80,180,0
80,0,100
80,180,0
78,0,100
78,120,0
78,0,100
78,180,0
78,0,100
78,60,0
78,0,100
78,120,0
78,0,100
78,60,0
77,120,100
77,180,0
77,0,100
77,60,0
77,0,100
77,60,0
77,0,100
77,60,0
78,0,100
78,60,0
73,0,100
73,180,0
73,0,100
73,180,0
72,0,100
72,120,0
72,0,100
72,180,0
72,0,100
72,60,0
71,0,100
71,120,0
71,0,100
71,60,0
68,120,100
68,180,0
68,0,100
68,60,0
68,0,100
68,60,0
68,0,100
68,60,0
75,0,100
75,60,0
73,0,100
73,180,0
73,0,100
73,180,0
72,0,100
72,120,0
72,0,100
72,180,0
72,0,100
72,60,0
71,0,100
71,120,0
71,0,100
71,60,0
68,120,100
68,180,0
68,0,100
68,60,0
68,0,100
68,60,0
68,0,100
68,60,0
75,0,100
75,60,0
73,0,100
73,180,0
73,0,100
73,180,0
72,0,100
72,120,0
72,0,100
72,180,0
72,0,100
72,60,0
71,0,100
71,120,0
71,0,100
71,60,0
68,120,100
68,180,0
68,0,100
68,60,0
68,0,100
68,60,0
68,0,100
68,60,0
75,0,100
75,60,0
73,0,100
73,180,0
73,0,100
73,180,0
72,0,100
72,120,0
72,0,100
72,180,0
72,0,100
72,60,0
71,0,100
71,120,0
71,0,100
71,60,0
68,120,100
68,180,0
68,0,100
68,60,0
68,0,100
68,60,0
68,0,100
68,60,0
75,0,100
75,60,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
44,0,100
44,120,0
44,0,100
44,60,0
44,0,100
44,60,0
56,0,100
56,60,0
44,0,100
44,60,0
49,0,100
49,60,0
61,0,100
61,60,0
49,0,100
49,60,0
49,0,100
49,30,0
49,0,90
49,0,90
49,60,0
49,0,0
49,0,90
49,0,90
49,30,0
49,0,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
44,0,100
44,120,0
44,0,100
44,60,0
44,0,100
44,60,0
56,0,100
56,60,0
44,0,100
44,60,0
49,0,100
49,60,0
61,0,100
61,60,0
49,0,100
49,60,0
49,0,100
49,30,0
49,0,90
49,0,90
49,60,0
49,0,0
49,0,90
49,0,90
49,30,0
49,0,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
44,0,100
44,120,0
44,0,100
44,60,0
44,0,100
44,60,0
56,0,100
56,60,0
44,0,100
44,60,0
49,0,100
49,60,0
61,0,100
61,60,0
49,0,100
49,60,0
49,0,100
49,30,0
49,0,90
49,0,90
49,60,0
49,0,0
49,0,90
49,0,90
49,30,0
49,0,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
45,0,100
45,120,0
45,0,100
45,60,0
45,0,100
45,60,0
57,0,100
57,60,0
45,0,100
45,60,0
44,0,100
44,120,0
44,0,100
44,60,0
44,0,100
44,60,0
56,0,100
56,60,0
44,0,100
44,60,0
49,0,100
49,60,0
61,0,100
61,60,0
49,0,100
49,60,0
49,0,100
49,30,0
49,0,90
49,0,90
49,60,0
49,0,0
49,0,90
49,0,90
49,30,0
49,0,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
44,0,100
44,60,0
38,0,100
38,60,0
44,0,100
44,60,0
