note,length,delay
60,0,47
60,254,0
64,2,53
64,254,0
67,2,52
67,254,0
67,2,52
48,0,70
67,254,0
48,0,0
52,2,88
55,0,87
52,254,0
55,0,0
79,2,43
52,0,78
55,0,79
52,126,0
55,0,0
79,105,0
79,25,49
48,0,67
79,231,0
48,23,0
52,2,86
55,0,86
52,254,0
55,0,0
76,2,43
52,0,76
55,0,79
52,126,0
55,0,0
76,105,0
76,25,50
48,0,64
76,231,0
48,23,0
52,2,85
55,0,87
52,254,0
55,0,0
60,2,42
52,0,76
55,0,76
52,126,0
55,0,0
60,128,0
60,2,50
48,0,63
60,254,0
48,0,0
64,2,55
52,0,85
55,0,88
64,254,0
52,0,0
55,0,0
67,2,51
52,0,78
55,0,77
52,126,0
55,0,0
67,128,0
67,2,51
50,0,66
67,254,0
50,0,0
53,2,86
55,0,84
53,254,0
55,0,0
79,2,42
53,0,77
55,0,78
53,126,0
55,0,0
79,105,0
79,25,49
50,0,70
79,231,0
50,23,0
53,2,82
55,0,83
53,254,0
55,0,0
77,2,45
53,0,76
55,0,76
53,126,0
55,0,0
77,105,0
77,25,51
50,0,66
77,231,0
50,23,0
53,2,82
55,0,83
53,254,0
55,0,0
59,2,44
53,0,78
55,0,75
53,126,0
55,0,0
59,128,0
59,2,49
50,0,69
59,254,0
50,0,0
62,2,51
53,0,82
55,0,83
62,254,0
53,0,0
55,0,0
69,2,57
53,0,77
55,0,75
53,126,0
55,0,0
69,128,0
69,2,52
50,0,68
69,254,0
50,0,0
53,2,83
55,0,83
53,254,0
55,0,0
81,2,45
53,0,78
55,0,78
53,126,0
55,0,0
81,105,0
81,25,51
50,0,69
81,231,0
50,23,0
53,2,82
55,0,83
53,254,0
55,0,0
77,2,42
53,0,78
55,0,77
53,126,0
55,0,0
77,105,0
77,25,50
50,0,66
77,231,0
50,23,0
53,2,85
55,0,83
53,254,0
55,0,0
59,2,42
53,0,77
55,0,77
53,126,0
55,0,0
59,128,0
59,2,49
50,0,67
50,231,0
59,23,0
62,2,52
53,0,85
55,0,83
53,231,0
55,0,0
62,23,0
69,2,55
53,0,77
55,0,77
53,231,0
55,0,0
69,23,0
69,2,51
48,0,64
48,231,0
69,23,0
52,2,88
55,0,88
52,231,0
55,0,0
81,25,43
52,0,79
55,0,77
81,231,0
52,0,0
55,0,0
81,25,50
48,0,65
81,231,0
48,0,0
52,25,87
55,0,88
52,231,0
55,0,0
76,25,41
52,0,79
55,0,79
76,231,0
52,0,0
55,0,0
76,25,51
48,0,65
76,231,0
48,0,0
52,25,87
55,0,89
52,231,0
55,0,0
60,25,42
52,0,78
55,0,79
52,231,0
55,0,0
60,23,0
60,2,65
48,0,67
48,231,0
60,23,0
64,2,81
52,0,87
55,0,89
52,231,0
55,0,0
64,23,0
67,2,95
52,0,77
55,0,78
52,231,0
55,0,0
67,23,0
72,2,118
52,0,71
52,231,0
72,23,0
55,2,89
60,0,91
55,231,0
60,0,0
72,25,91
55,0,79
60,0,78
72,231,0
55,0,0
60,0,0
72,25,102
52,0,68
72,231,0
52,0,0
55,25,93
60,0,93
55,231,0
60,0,0
67,25,89
55,0,80
60,0,82
67,231,0
55,0,0
60,0,0
67,25,103
52,0,68
67,231,0
52,0,0
55,25,92
60,0,93
55,231,0
60,0,0
60,25,88
60,254,0
60,2,101
48,0,85
48,231,0
60,23,0
64,2,113
52,0,106
55,0,109
52,231,0
55,0,0
64,23,0
67,2,110
52,0,93
55,0,95
52,231,0
55,0,0
67,23,0
72,2,118
53,0,90
53,231,0
72,23,0
57,2,108
60,0,107
57,231,0
60,0,0
72,25,91
57,0,93
60,0,95
72,231,0
57,0,0
60,0,0
72,25,102
53,0,76
72,231,0
53,0,0
57,25,104
60,0,105
57,231,0
60,0,0
69,25,88
57,0,96
60,0,93
69,231,0
57,0,0
60,0,0
69,25,104
53,0,78
69,231,0
53,0,0
57,25,106
60,0,105
57,231,0
60,0,0
62,25,85
62,254,0
62,2,98
50,0,86
50,231,0
62,23,0
65,2,105
53,0,98
53,231,0
65,23,0
69,2,112
57,0,102
57,231,0
69,23,0
69,2,106
50,0,78
50,231,0
53,25,101
55,0,100
53,231,0
55,0,0
53,25,92
55,0,93
53,231,0
55,0,0
43,25,69
43,231,0
69,23,0
66,2,94
53,0,112
55,0,111
53,231,0
55,0,0
66,23,0
67,2,104
53,0,95
55,0,94
53,231,0
55,0,0
67,23,0
76,2,127
48,0,79
48,231,0
52,25,105
55,0,106
52,231,0
55,0,0
52,25,92
55,0,96
52,231,0
55,0,0
45,25,74
45,231,0
76,23,0
72,2,90
48,0,103
52,0,105
48,231,0
52,0,0
72,23,0
64,2,83
48,0,96
52,0,94
48,231,0
52,0,0
64,23,0
64,2,99
50,0,89
50,231,0
53,25,107
57,0,106
53,231,0
57,0,0
64,20,0
62,5,96
53,0,94
57,0,94
53,231,0
57,0,0
62,23,0
69,2,121
50,0,80
50,231,0
53,25,102
55,0,100
53,231,0
55,0,0
69,20,0
67,5,100
53,0,92
55,0,93
53,231,0
55,0,0
67,23,0
60,2,88
48,0,80
48,231,0
52,25,107
55,0,104
60,125,0
60,3,98
52,103,0
55,0,0
60,13,0
60,12,101
52,0,94
55,0,93
60,231,0
52,0,0
55,0,0
60,25,105
48,0,93
52,0,96
55,0,93
60,126,0
48,0,0
52,0,0
55,0,0
