note,length,delay
47,768,127
47,244,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,192,0
59,0,107
63,0,125
68,0,127
68,16,0
63,0,0
59,0,0
59,0,103
64,16,121
68,16,127
68,672,0
64,0,0
59,0,0
59,0,107
63,0,125
68,0,127
68,16,0
63,0,0
59,0,0
59,0,103
64,16,121
68,16,127
68,672,0
64,0,0
59,0,0
47,0,127
47,244,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,192,0
47,768,127
47,244,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,436,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
47,258,127
47,26,0
59,44,126
59,37,0
47,251,123
47,33,0
52,159,127
52,221,0
54,67,127
54,32,0
52,160,105
52,16,0
54,80,127
54,40,0
52,47,100
52,27,0
54,69,120
54,20,0
42,76,127
42,24,0
44,49,126
44,30,0
49,258,127
49,26,0
61,44,126
61,37,0
49,251,123
49,33,0
54,159,127
54,221,0
56,67,127
56,32,0
54,160,105
54,16,0
56,80,127
56,40,0
54,47,100
54,27,0
56,69,120
56,20,0
44,76,127
44,24,0
46,49,126
46,30,0
49,258,127
49,26,0
61,44,126
61,37,0
49,251,123
49,33,0
54,159,127
54,221,0
56,67,127
56,32,0
54,160,105
54,16,0
56,80,127
56,40,0
54,47,100
54,27,0
56,69,120
56,20,0
44,76,127
44,24,0
46,49,126
46,30,0
49,258,127
49,26,0
61,44,126
61,37,0
49,251,123
49,33,0
54,159,127
54,221,0
56,67,127
56,32,0
54,160,105
54,16,0
56,80,127
56,40,0
54,47,100
54,27,0
56,69,120
56,20,0
44,76,127
44,24,0
46,49,126
46,30,0
49,258,127
49,26,0
61,44,126
61,37,0
49,251,123
49,33,0
54,159,127
54,221,0
56,67,127
56,32,0
54,160,105
54,16,0
56,80,127
56,40,0
54,47,100
54,27,0
56,69,120
56,20,0
61,960,127
64,0,123
61,72,0
64,5,0
63,3,89
63,96,0
64,0,127
64,96,0
63,0,94
59,96,111
63,77,0
56,19,99
59,40,0
61,56,102
61,96,0
59,0,122
56,96,0
59,6,0
54,90,98
59,96,122
54,4,0
51,47,86
59,44,0
52,52,85
51,15,0
54,81,117
52,42,0
59,54,116
54,134,0
59,46,0
54,12,123
54,165,0
54,27,100
59,0,127
54,52,0
54,140,88
59,40,0
61,56,117
54,123,0
54,69,106
61,49,0
59,47,121
59,9,0
54,0,0
61,0,127
64,0,123
61,72,0
64,5,0
63,3,89
63,96,0
64,0,113
64,96,0
63,0,93
59,96,115
63,77,0
56,19,95
59,40,0
61,56,98
61,96,0
59,0,126
56,96,0
59,6,0
54,90,98
59,96,123
54,4,0
51,47,86
59,44,0
52,52,85
51,15,0
54,81,117
52,42,0
59,54,116
54,134,0
59,46,0
54,12,123
63,192,127
54,192,0
54,0,88
63,40,0
61,56,117
54,123,0
54,69,106
61,49,0
59,47,121
59,97,0
54,0,0
61,0,127
