note,length,delay
57,0,100
53,0,100
41,0,100
41,0,100
53,0,100
57,0,100
59,0,100
55,0,100
43,0,100
57,0,100
60,0,100
45,0,100
59,0,100
55,0,100
43,0,100
57,0,100
53,0,100
41,0,100
41,0,100
53,0,100
57,0,100
43,0,100
55,0,100
59,0,100
45,0,100
57,0,100
60,0,100
43,0,100
55,0,100
59,0,100
41,0,100
53,0,100
57,0,100
64,0,100
57,0,100
53,0,100
41,0,100
64,0,100
64,0,100
43,0,100
55,0,100
59,0,100
60,0,100
57,0,100
45,0,100
64,0,100
62,0,100
43,0,100
55,0,100
59,0,100
64,0,100
41,0,100
53,0,100
57,0,100
57,0,100
53,0,100
41,0,100
64,0,100
43,0,100
55,0,100
59,0,100
64,0,100
60,0,100
57,0,100
45,0,100
64,0,100
62,0,100
59,0,100
55,0,100
43,0,100
64,0,100
57,0,100
41,0,100
53,0,100
64,0,100
41,0,100
53,0,100
57,0,100
43,0,100
55,0,100
59,0,100
64,0,100
60,0,100
57,0,100
45,0,100
64,0,100
62,0,100
59,0,100
55,0,100
43,0,100
41,0,100
53,0,100
57,0,100
64,0,100
64,0,100
41,0,100
53,0,100
57,0,100
64,0,100
43,0,100
55,0,100
59,0,100
57,0,100
60,0,100
45,0,100
64,0,100
64,0,100
55,0,100
59,0,100
43,0,100
62,0,100
57,0,100
53,0,100
64,0,100
41,0,100
64,0,100
53,0,100
57,0,100
41,0,100
43,0,100
55,0,100
59,0,100
64,0,100
64,0,100
57,0,100
60,0,100
45,0,100
59,0,100
55,0,100
64,0,100
43,0,100
62,0,100
64,0,100
53,0,100
57,0,100
41,0,100
41,0,100
64,0,100
53,0,100
57,0,100
43,0,100
64,0,100
59,0,100
55,0,100
64,0,100
57,0,100
60,0,100
45,0,100
43,0,100
64,0,100
55,0,100
59,0,100
62,0,100
64,0,100
53,0,100
57,0,100
41,0,100
69,0,100
69,0,100
41,0,100
64,0,100
53,0,100
57,0,100
67,0,100
55,0,100
59,0,100
64,0,100
43,0,100
45,0,100
60,0,100
57,0,100
64,0,100
59,0,100
55,0,100
43,0,100
62,0,100
69,0,100
41,0,100
57,0,100
53,0,100
64,0,100
57,0,100
53,0,100
64,0,100
41,0,100
69,0,100
67,0,100
55,0,100
59,0,100
64,0,100
43,0,100
45,0,100
60,0,100
57,0,100
64,0,100
62,0,100
43,0,100
55,0,100
59,0,100
64,0,100
53,0,100
57,0,100
41,0,100
69,0,100
69,0,100
41,0,100
64,0,100
53,0,100
57,0,100
67,0,100
55,0,100
59,0,100
64,0,100
43,0,100
64,0,100
57,0,100
60,0,100
45,0,100
59,0,100
55,0,100
43,0,100
62,0,100
69,0,100
41,0,100
57,0,100
53,0,100
64,0,100
69,0,100
41,0,100
64,0,100
53,0,100
57,0,100
67,0,100
55,0,100
59,0,100
64,0,100
43,0,100
45,0,100
60,0,100
57,0,100
64,0,100
62,0,100
43,0,100
55,0,100
59,0,100
41,0,100
57,0,100
53,0,100
64,0,100
57,0,100
53,0,100
64,0,100
41,0,100
55,0,100
59,0,100
64,0,100
43,0,100
64,0,100
57,0,100
60,0,100
45,0,100
62,0,100
43,0,100
55,0,100
59,0,100
41,0,96
57,0,96
53,0,96
64,0,96
57,0,96
53,0,96
64,0,96
41,0,96
55,0,96
59,0,96
64,0,96
43,0,96
64,0,96
57,0,96
60,0,96
45,0,96
62,0,96
43,0,96
55,0,96
59,0,96
41,0,96
57,0,96
53,0,96
64,0,96
57,0,96
53,0,96
64,0,96
41,0,96
55,0,96
59,0,96
64,0,96
43,0,96
64,0,96
57,0,96
60,0,96
45,0,96
62,0,96
43,0,96
55,0,96
59,0,96
41,0,96
57,0,96
53,0,96
64,0,96
57,0,96
53,0,96
64,0,96
41,0,96
55,0,96
59,0,96
64,0,96
43,0,96
64,0,96
57,0,96
60,0,96
45,0,96
64,0,96
43,0,96
55,0,96
