note,length,delay
66,0,80
66,227,0
78,13,80
78,227,0
61,13,80
61,227,0
73,13,80
73,227,0
66,13,80
66,113,0
66,7,80
66,113,0
76,7,80
76,227,0
78,13,80
78,113,0
78,7,80
78,113,0
80,7,80
80,227,0
64,13,80
64,227,0
76,13,80
76,227,0
61,13,80
61,227,0
73,13,80
73,227,0
69,13,80
69,113,0
69,7,80
69,113,0
76,7,80
76,227,0
76,13,80
76,113,0
76,7,80
76,113,0
73,7,80
73,227,0
66,13,80
66,227,0
78,13,80
78,227,0
61,13,80
61,227,0
73,13,80
73,227,0
66,13,80
66,113,0
66,7,80
66,113,0
76,7,80
76,227,0
78,13,80
78,113,0
78,7,80
78,113,0
80,7,80
80,227,0
64,13,80
64,227,0
76,13,80
76,227,0
61,13,80
61,227,0
73,13,80
73,227,0
69,13,80
69,113,0
69,7,80
69,113,0
76,7,80
76,227,0
76,13,80
76,113,0
76,7,80
76,113,0
73,7,80
73,227,0
71,13,80
71,455,0
69,25,80
69,911,0
66,289,80
66,227,0
71,13,80
71,341,0
69,19,80
69,113,0
69,7,80
69,911,0
66,289,80
66,227,0
71,13,80
71,455,0
69,25,80
69,911,0
66,289,80
66,227,0
71,13,80
71,341,0
69,19,80
69,113,0
69,7,80
69,911,0
69,289,80
69,227,0
71,13,80
71,227,0
73,13,80
73,227,0
71,13,80
71,911,0
69,289,80
69,227,0
71,13,80
71,227,0
73,13,80
73,227,0
71,13,80
71,911,0
69,289,80
69,227,0
71,13,80
71,227,0
66,13,80
66,227,0
71,13,80
71,911,0
66,289,80
66,227,0
71,13,80
71,227,0
66,13,80
66,227,0
71,13,80
71,911,0
81,529,80
93,0,80
81,911,0
93,0,0
81,49,80
93,0,80
81,911,0
93,0,0
81,49,80
93,0,80
81,911,0
93,0,0
81,49,80
93,0,80
81,683,0
93,0,0
76,37,80
76,227,0
78,13,80
78,455,0
76,25,80
76,455,0
73,25,80
73,341,0
71,19,80
71,341,0
69,19,80
69,239,0
69,1,80
69,683,0
73,37,80
73,227,0
71,13,80
71,227,0
69,13,80
69,227,0
71,13,80
71,227,0
69,13,80
69,227,0
78,13,80
78,455,0
76,25,80
76,455,0
73,25,80
73,341,0
73,19,80
73,341,0
71,19,80
71,227,0
71,13,80
71,683,0
73,37,80
73,227,0
71,13,80
71,227,0
69,13,80
69,227,0
71,13,80
71,227,0
69,13,80
69,227,0
78,13,80
78,455,0
76,25,80
76,455,0
73,25,80
73,341,0
71,19,80
71,341,0
69,19,80
69,239,0
69,1,80
69,683,0
69,37,80
69,227,0
69,13,80
69,455,0
76,25,80
76,227,0
76,13,80
76,113,0
73,7,80
73,119,0
73,1,80
73,455,0
69,505,80
69,455,0
76,25,80
76,227,0
76,13,80
76,113,0
71,7,80
71,119,0
71,1,80
71,455,0
69,265,80
69,227,0
