note,length,delay
61,3840,80
61,683,0
61,37,80
61,227,0
63,13,80
63,227,0
66,13,80
66,227,0
63,13,80
63,227,0
61,13,80
61,227,0
58,13,80
58,683,0
56,37,80
56,227,0
58,13,80
58,911,0
61,49,80
61,683,0
61,37,80
61,227,0
63,13,80
63,227,0
66,13,80
66,113,0
63,7,80
63,341,0
61,19,80
61,227,0
58,13,80
58,683,0
56,37,80
56,227,0
58,13,80
58,911,0
61,49,80
61,683,0
61,37,80
61,227,0
63,13,80
63,227,0
66,13,80
66,113,0
63,7,80
63,341,0
61,19,80
61,227,0
58,13,80
58,683,0
56,37,80
56,227,0
58,13,80
58,683,0
54,37,80
54,227,0
61,13,80
61,683,0
61,37,80
61,227,0
63,13,80
63,227,0
66,13,80
66,113,0
63,7,80
63,227,0
61,13,80
61,227,0
58,13,80
58,569,0
61,151,80
61,113,0
61,7,80
61,113,0
61,7,80
61,113,0
61,7,80
61,227,0
58,13,80
58,113,0
58,7,80
58,227,0
58,13,80
58,113,0
58,7,80
58,227,0
59,13,80
59,455,0
61,145,80
61,113,0
61,7,80
61,113,0
61,7,80
61,113,0
61,7,80
61,227,0
58,13,80
58,113,0
58,7,80
58,227,0
56,13,80
56,113,0
56,7,80
56,227,0
54,13,80
54,455,0
61,145,80
61,113,0
61,7,80
61,113,0
61,7,80
61,113,0
61,7,80
61,227,0
58,13,80
58,113,0
58,7,80
58,227,0
58,13,80
58,113,0
58,7,80
58,227,0
59,13,80
59,455,0
61,145,80
61,113,0
61,7,80
61,113,0
61,7,80
61,113,0
61,7,80
61,227,0
58,13,80
58,113,0
58,7,80
58,227,0
56,13,80
56,113,0
56,7,80
56,227,0
54,13,80
54,455,0
61,265,80
61,227,0
61,13,80
61,113,0
58,7,80
58,227,0
58,13,80
58,227,0
58,13,80
58,227,0
58,13,80
58,113,0
59,7,80
59,455,0
61,265,80
66,0,80
61,227,0
66,0,0
61,13,80
66,0,80
61,113,0
66,0,0
58,7,80
63,0,80
58,227,0
63,0,0
61,13,80
66,0,80
61,341,0
66,0,0
63,19,80
68,0,80
63,113,0
68,0,0
63,7,80
68,0,80
68,113,0
70,7,80
63,1361,0
70,6,0
54,193,80
54,113,0
56,7,80
56,113,0
58,7,80
58,797,0
58,43,80
58,227,0
61,13,80
61,455,0
61,25,80
61,227,0
54,13,80
54,113,0
54,7,80
54,569,0
66,1471,80
78,0,80
66,227,0
78,0,0
75,13,80
75,227,0
78,13,80
78,227,0
73,13,80
73,227,0
78,13,80
78,227,0
75,13,80
75,113,0
78,7,80
78,119,0
73,121,80
73,341,0
66,19,80
78,0,80
66,227,0
78,0,0
75,13,80
75,227,0
78,13,80
78,227,0
73,13,80
73,227,0
78,13,80
78,227,0
75,13,80
75,113,0
78,7,80
78,119,0
73,121,80
73,341,0
66,19,80
78,0,80
66,227,0
78,0,0
75,13,80
75,227,0
78,13,80
78,227,0
73,13,80
73,227,0
78,13,80
78,227,0
75,13,80
75,113,0
78,7,80
78,119,0
73,121,80
73,341,0
66,19,80
78,0,80
66,227,0
78,0,0
75,13,80
75,227,0
78,13,80
78,227,0
73,13,80
73,227,0
78,13,80
78,227,0
75,13,80
75,113,0
78,7,80
78,119,0
73,121,80
73,341,0
66,19,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,227,0
75,0,0
70,13,80
78,0,80
70,227,0
78,0,0
68,13,80
73,0,80
68,227,0
73,0,0
66,13,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,113,0
75,0,0
70,7,80
78,0,80
70,119,0
78,0,0
68,121,80
73,0,80
68,341,0
73,0,0
66,19,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,227,0
75,0,0
70,13,80
78,0,80
70,227,0
78,0,0
68,13,80
73,0,80
68,227,0
73,0,0
66,13,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,113,0
75,0,0
70,7,80
78,0,80
70,119,0
78,0,0
68,121,80
73,0,80
68,341,0
73,0,0
66,19,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,227,0
75,0,0
70,13,80
78,0,80
70,227,0
78,0,0
68,13,80
73,0,80
68,227,0
73,0,0
66,13,80
78,0,80
66,227,0
78,0,0
68,13,80
75,0,80
68,113,0
75,0,0
70,7,80
78,0,80
70,119,0
78,0,0
68,121,80
73,0,80
68,341,0
73,0,0
66,19,80
78,0,80
66,455,0
78,0,0
42,0,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
42,241,80
54,0,80
42,239,0
54,0,0
47,241,80
59,0,80
47,239,0
59,0,0
