note,length,delay
55,0,45
83,5,21
71,0,31
59,26,17
79,9,56
71,10,25
67,12,32
79,12,75
71,3,34
59,11,57
55,10,35
50,0,48
55,7,44
79,7,48
71,15,67
59,0,41
83,2,55
67,9,47
47,14,21
67,12,34
55,3,98
50,4,54
59,12,54
43,7,38
78,9,73
90,7,50
83,22,37
81,0,60
45,9,65
52,0,80
81,5,59
71,7,54
33,5,48
88,4,46
93,4,43
81,3,90
53,9,55
59,15,38
78,9,82
78,5,96
90,2,58
69,10,54
66,9,68
86,5,61
81,2,61
59,12,90
54,10,49
54,5,24
66,14,62
78,7,103
86,5,82
69,0,83
57,9,65
50,19,16
57,5,76
90,10,50
81,0,69
54,14,67
59,7,55
66,7,46
86,0,17
69,0,66
74,12,72
66,3,78
78,0,17
59,14,95
54,2,73
47,10,54
78,2,77
86,3,78
69,2,88
66,2,76
59,2,111
86,7,50
78,0,66
47,5,81
54,7,61
69,7,60
81,10,59
78,9,92
66,5,63
93,2,28
64,2,68
78,10,86
52,2,99
69,0,70
81,5,62
57,7,107
33,5,65
74,12,57
49,2,33
47,0,18
58,5,74
83,7,65
71,2,68
59,7,23
67,3,82
57,4,28
62,4,43
79,3,67
59,7,83
74,4,82
55,3,57
86,0,80
83,10,86
71,7,94
55,5,91
59,2,82
79,15,87
59,0,52
74,19,67
