note,length,delay
57,0,0
56,0,0
57,0,0
52,0,0
51,0,0
52,0,0
53,0,0
55,0,0
53,0,0
52,0,0
50,0,0
48,0,0
47,0,0
46,0,0
47,0,0
52,0,0
50,0,0
49,0,0
47,0,0
49,0,0
50,0,0
49,0,0
47,0,0
49,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
45,0,0
40,0,0
76,0,0
40,0,0
81,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
81,0,0
45,0,0
80,0,0
40,0,0
80,0,0
40,0,0
76,0,0
45,0,0
76,0,0
45,0,0
78,0,0
40,0,0
78,0,0
40,0,0
73,0,0
45,0,0
45,0,0
73,0,0
40,0,0
40,0,0
45,0,0
73,0,0
45,0,0
71,0,0
40,0,0
69,0,0
40,0,0
69,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
73,0,0
45,0,0
71,0,0
40,0,0
69,0,0
40,0,0
69,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
45,0,0
40,0,0
42,0,0
76,0,0
44,0,0
81,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
81,0,0
45,0,0
80,0,0
40,0,0
80,0,0
40,0,0
76,0,0
45,0,0
76,0,0
45,0,0
78,0,0
40,0,0
78,0,0
40,0,0
73,0,0
45,0,0
45,0,0
73,0,0
40,0,0
40,0,0
45,0,0
73,0,0
45,0,0
71,0,0
40,0,0
69,0,0
40,0,0
69,0,0
45,0,0
45,0,0
40,0,0
40,0,0
45,0,0
73,0,0
45,0,0
71,0,0
40,0,0
69,0,0
40,0,0
69,0,0
45,0,0
45,0,0
40,0,0
42,0,0
44,0,0
45,0,0
45,0,0
40,0,0
73,0,0
40,0,0
73,0,0
49,0,0
49,0,0
44,0,0
44,0,0
49,0,0
73,0,0
49,0,0
75,0,0
44,0,0
75,0,0
44,0,0
73,0,0
49,0,0
49,0,0
68,0,0
44,0,0
44,0,0
49,0,0
68,0,0
49,0,0
68,0,0
44,0,0
68,0,0
44,0,0
68,0,0
49,0,0
49,0,0
44,0,0
44,0,0
49,0,0
49,0,0
44,0,0
76,0,0
44,0,0
76,0,0
40,0,0
40,0,0
47,0,0
47,0,0
40,0,0
76,0,0
40,0,0
78,0,0
47,0,0
80,0,0
78,0,0
47,0,0
76,0,0
40,0,0
76,0,0
40,0,0
78,0,0
47,0,0
80,0,0
78,0,0
47,0,0
76,0,0
40,0,0
40,0,0
71,0,0
47,0,0
47,0,0
40,0,0
71,0,0
40,0,0
71,0,0
47,0,0
71,0,0
47,0,0
71,0,0
40,0,0
40,0,0
47,0,0
47,0,0
40,0,0
40,0,0
47,0,0
47,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
80,480,0
40,0,0
78,0,0
47,0,0
35,0,0
81,480,0
40,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
81,0,0
47,0,0
35,0,0
80,0,0
40,0,0
40,0,0
47,0,0
49,0,0
47,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
80,480,0
40,0,0
78,0,0
47,0,0
35,0,0
81,480,0
40,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
81,0,0
35,0,0
47,0,0
76,0,0
45,0,0
73,0,0
57,0,0
73,0,0
57,0,0
73,0,0
57,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
53,0,0
73,0,0
53,0,0
73,0,0
49,0,0
73,0,0
49,0,0
81,0,0
42,0,0
83,0,0
38,0,0
81,0,0
38,0,0
78,0,0
39,0,0
81,0,0
39,0,0
76,0,0
40,0,0
73,0,0
40,0,0
73,0,0
42,0,0
74,0,0
42,0,0
76,0,0
40,0,0
74,0,0
40,0,0
73,0,0
42,0,0
71,0,0
44,0,0
69,0,0
45,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
80,480,0
40,0,0
78,0,0
47,0,0
35,0,0
81,480,0
40,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
81,0,0
47,0,0
35,0,0
80,0,0
40,0,0
40,0,0
47,0,0
49,0,0
47,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
80,480,0
40,0,0
78,0,0
47,0,0
35,0,0
81,480,0
40,0,0
80,0,0
40,0,0
78,0,0
47,0,0
35,0,0
81,0,0
47,0,0
35,0,0
76,0,0
45,0,0
73,0,0
57,0,0
73,0,0
57,0,0
73,0,0
57,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
56,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
54,0,0
73,0,0
53,0,0
73,0,0
53,0,0
73,0,0
49,0,0
73,0,0
49,0,0
81,0,0
42,0,0
83,0,0
38,0,0
81,0,0
38,0,0
78,0,0
39,0,0
81,0,0
39,0,0
76,0,0
40,0,0
73,0,0
40,0,0
73,0,0
42,0,0
74,0,0
42,0,0
76,0,0
40,0,0
74,0,0
40,0,0
73,0,0
42,0,0
71,0,0
44,0,0
69,0,0
81,0,0
45,0,0
57,0,0
45,0,0
49,0,0
52,0,0
57,0,0
52,0,0
57,0,0
61,0,0
57,0,0
61,0,0
64,0,0
61,0,0
64,0,0
69,0,0
73,0,0
76,0,0
73,0,0
76,0,0
81,0,0
69,0,0
57,0,0
45,0,0
33,0,0
